Past is a Grotesque Animal The	tt3072636
Homesman The	tt2398231
Elsa and Fred 	tt2113659
Ex Machina	tt0470752
Nightcrawler	tt2872718
U S Marshals	tt0120873
Beyond the Lights	tt3125324
Lost River	tt2366608
As It Is in Heaven	tt0112403
Cider House Rules The	tt0124315
Falcon Rising	tt2295722
Annabelle	tt3322940
Rudderless	tt1798243
Atlas Shrugged Who Is John Galt	tt2800038
Mommy	tt3612616
Manglehorn	tt2893490
Burnt	tt2503944
Pump	tt2630916
Born to Fly Elizabeth Streb vs Gravity	tt2246526
Housebound 	tt3504048
Child 44	tt1014763
Camp X Ray	tt2994190
John Wick	tt2911666
Plastic	tt2556874
Maggie	tt1881002
Escobar Paradise Lost	tt2515030
While Were Young	tt1791682
Top Five	tt2784678
Meet the Mormons	tt4003774
Big Chill The	tt0085244
Men Women and Children	tt3179568
Light Between Oceans The	tt2547584
Beyond the Brick A LEGO Brickumentary	tt3214286
Last 5 Years The	tt2474024
Our Brand is Crisis 	tt1018765
Thunder and the House of Magic The	tt3148834
Not Cool	tt3569356
Never Been Kissed	tt0151738
Haunting in Connecticut The	tt0492044
Ghosts of Girlfriends Past	tt0821640
Aloft	tt2494384
Before We Go	tt0443465
Most Violent Year A	tt2937898
Gambler The 	tt2039393
chambre bleue La	tt3230082
Babadook The	tt2321549
Captive 	tt3268668
Danny Collins	tt1772288
Miss Julie 	tt2667960
Still Alice	tt3316960
Trash 	tt1921149
Sisterhood of Night The	tt1015471
Unfriended	tt3713166
Sleepwalker The	tt0035343
Overnight The	tt3844362
Woman in Gold	tt2404425
T Rex Back to the Cretaceous	tt0163862
Water Diviner The	tt3007512
Brooklyn	tt2381111
Black November	tt2147225
Above and Beyond	tt2704752
War Room	tt3832914
Strangerland	tt2325977
Praia do Futuro	tt2199543
Forces of Nature	tt0141098
Sweeney Todd The Demon Barber of Fleet Street	tt0408236
Hits	tt3145220
Butterfly Girl	tt2421956
Darkness The	tt1878841
Recruit The	tt0292506
Suffragette	tt3077214
Yi ge ren de wu lin	tt2952602
famille Belier La	tt3547740
Freedom 	tt0463998
United Passions	tt2814362
Top Spin	tt4219836
Closer to the Moon 	tt2017486
Mune le gardien de la lune	tt3858372
RoboCop 	tt1234721
Were the Millers	tt1723121
Hobbit The Desolation of Smaug The	tt1170358
Lone Ranger The	tt1210819
Croods The	tt0481499
47 Ronin	tt1335975
Dallas Buyers Club	tt0790636
Legends of Oz Dorothy s Return	tt0884726
