tt2294629	Frozen 
tt0848537	Epic
tt1872181	Amazing Spider Man 2 The
tt1951264	Hunger Games Catching Fire The
tt0107688	Nightmare Before Christmas The
tt2017020	Smurfs 2 The
tt1854564	Percy Jackson Sea of Monsters
tt1821694	RED 2
tt1670345	Now You See Me
tt2120120	Pixels
tt1535109	Captain Phillips
tt1951261	Hangover 3 The
tt2109248	Transformers Age of Extinction
tt0313542	Runaway Jury
tt2024432	Identity Thief
tt1985966	Cloudy with a Chance of Meatballs 2
tt2956300	ABCD 
tt1253863	300 Rise of an Empire
tt1532958	Battle of the Year The Dream Team
tt1711425	21 and Over
tt1538403	Mortal Instruments City of Bones The
tt1939659	Carrie 
tt1490017	LEGO Movie The
tt1245492	This is the End
tt2334879	White House Down
tt2234155	Internship The
tt2404463	Heat The
tt2515086	One Direction This is Us
tt1790864	Runner Runner
tt2017038	All is Lost
tt2404311	Family The
tt1206543	Out of the Furnace
tt1979320	Rush 
tt1457767	Conjuring The
tt2194499	About Time
tt1205537	Jack Ryan Shadow Recruit
tt1758795	To Do List The
tt1204975	Last Vegas
tt2011159	No Good Deed 
tt0480242	Dan in Real Life
tt2387433	Dark Skies
tt1392214	Prisoners
tt2140373	Saving Mr Banks
tt2002718	Machete Kills
tt2473510	Paranormal Activity The Ghost Dimension
tt2302755	Olympus Has Fallen
tt2167202	Getaway
tt2387559	Delivery Man
tt2034139	Last Exorcism Part 2 The
tt2083355	Best Man Holiday The
tt2184339	Purge The
tt2226417	Insidious Chapter 2
tt2654360	Deceptive Practice The Mysteries and Mentors of Ricky Jay
tt2177771	Monuments Men The
tt1691917	Planes
tt1911644	Call The
tt0816442	Book Thief The
tt2357129	Jobs
tt2609912	Kevin Hart Let Me Explain
tt2041534	Tyler Perrys A Madea Christmas
tt2281587	Muppets Most Wanted
tt0997047	College Road Trip
tt1171222	Baggage Claim
tt2172935	Metallica Through the Never
tt1267297	Hercules 
tt0118689	Bean
tt2193215	Counselor The
tt1837703	Fifth Estate The
tt1661382	Grudge Match
tt2304459	23 Blast
tt0111161	Redemption 
tt2553908	Cinco de Mayo La Batalla
tt2334873	Blue Jasmine
tt1043726	Legend of Hercules The
tt2051894	Home Run
tt1727388	Way Way Back The
tt1462900	Yi dai zong shi
tt1093908	Confessions of a Shopaholic
tt1714206	Spectacular Now The
tt2334649	Fruitvale Station
tt2304771	Mandela Long Walk to Freedom
tt2095649	Grace of Monaco
tt1425922	Black Nativity
tt2388637	Aint Them Bodies Saints
tt1800241	American Hustle
tt2265398	Drinking Buddies
tt2503954	Broken Horses
tt0467110	Underdog
tt2024544	12 Years a Slave
tt2349460	Grace Unplugged
tt1602613	Only God Forgives
tt2268573	Stranded
tt2183034	Earth to Echo
tt2005374	Frozen Ground The
tt1821658	Nut Job The
tt1821549	Nebraska
tt2436386	Project Almanac
tt1929263	Heaven is for Real
tt2752758	Devils Due
tt1839642	Face of Love The
tt2170299	Bad Words
tt2388715	Oculus
tt2172934	3 Days to Kill
tt1798709	Her
tt2178470	Yeh Jawaani Hai Deewani
tt2974918	Alvin and the Chipmunks The Road Chip
tt2024469	Non Stop 
tt0424942	Deep Sea 3D
tt2011276	Banshee Chapter
tt2292959	Canyons The
tt2312718	Homefront
tt1698641	Alexander and the Terrible Horrible No Good Very Bad Day
tt1800246	That Awkward Moment
tt2322441	Fifty Shades of Grey
tt2378281	No se Aceptan Devoluciones
tt2278871	vie d Adele La
tt3063516	Jackass Presents Bad Grandpa
tt0956038	Nights in Rodanthe
tt2402105	Dom Hemingway
tt2226519	Plush
tt2123342	Underdogs
tt2390361	Enough Said
tt2004420	Neighbors 
tt2473682	Paranormal Activity The Marked Ones
tt1647668	Million Dollar Arm
tt2102502	Feichang Xingyun
tt2187884	Escape from Tomorrow
tt1837709	Winters Tale
tt2403021	Green Inferno The
tt0119951	Private Parts
tt2350496	Lunchbox The
tt1709143	Last Days on Mars The
tt2431286	Philomena
tt0455967	John Tucker Must Die
tt1777595	50 to 1
tt1726592	Before I Go to Sleep
tt1980929	Begin Again
tt2739338	Christmas Candle The
tt0365907	Walk Among the Tombstones A
tt0145921	Mysteries of Egypt
tt0120789	Pleasantville
tt0083791	Dark Crystal The
tt1487931	Khumba
tt3210686	Son of God
tt2278388	Grand Budapest Hotel The
tt1951181	Immigrant The
tt2058107	Railway Man The
tt1371150	This is Where I Leave You
tt2358891	grande bellezza La
tt2510028	Frontera 
tt1747958	Blood Ties 
tt2528814	Gods Not Dead
tt2637294	Hot Tub Time Machine 2
tt2389182	Cheap Thrills
tt2359024	Blue Ruin
tt2382396	Joe 
tt2479800	Palo Alto
tt1706620	Snowpiercer
tt1571249	Skeleton Twins The
tt0079522	Manhattan
tt5023260	Word The
tt2718492	Ida
tt2402085	Jimi All is By My Side
tt1781769	Anna
tt2052015	Water and Power 
tt2414046	insolitos peces gato Los
tt2407380	Test
tt2768766	Faith Connections
tt2328813	Trudno byt bogom
tt2876428	Guten Tag Ramon
tt2914838	R100
tt1981107	Young and Prodigious TS Spivet The
tt3074732	Hross i oss
tt1349485	navaja de Don Juan La
tt3183630	Menino e o Mundo O
tt1731141	Enders Game
tt0249516	Foodfight
