num,imdb_id,number_of _posters
717,tt2017038,42
718,tt2404311,44
719,tt1206543,38
720,tt1979320,53
721,tt1457767,49
722,tt2194499,43
723,tt1205537,53
724,tt1758795,19
725,tt1204975,40
726,tt2011159,14
727,tt0480242,23
728,tt2387433,24
729,tt1392214,54
730,tt2140373,45
731,tt2002718,41
732,tt2473510,33
733,tt2302755,66
734,tt2167202,27
735,tt2387559,29
736,tt2034139,21
737,tt2083355,10
738,tt2184339,50
739,tt2226417,38
740,tt2654360,3
741,tt2177771,59
742,tt1691917,79
743,tt1911644,35
744,tt0816442,50
745,tt2357129,37
746,tt2609912,5
747,tt2041534,1
748,tt2281587,15
749,tt0997047,12
750,tt1171222,25
751,tt2172935,16
752,tt1267297,54
753,tt0118689,34
754,tt2193215,67
755,tt1837703,30
756,tt1661382,44
757,tt2304459,3
758,tt0111161,80
759,tt2553908,3
760,tt2334873,31
761,tt1043726,43
762,tt2051894,9
763,tt1727388,24
764,tt1462900,27
765,tt1093908,30
766,tt1714206,13
767,tt2334649,12
768,tt2304771,37
769,tt2095649,38
770,tt1425922,7
771,tt2388637,22
772,tt1800241,78
773,tt2265398,21
774,tt2503954,12
775,tt0467110,13
776,tt2024544,41
777,tt2349460,5
778,tt1602613,38
779,tt2073661,2
780,tt2183034,26
781,tt2005374,28
782,tt1821658,47
783,tt1821549,27
784,tt2436386,37
785,tt1929263,16
786,tt2752758,33
787,tt1839642,13
788,tt2170299,17
789,tt2388715,30
790,tt2172934,49
791,tt1798709,51
792,tt2178470,8
793,tt2974918,43
794,tt2024469,48
795,tt0424942,9
796,tt2011276,12
797,tt2292959,17
798,tt2312718,45
799,tt1698641,28
800,tt1800246,33
801,tt2322441,54
802,tt2378281,21
803,tt2278871,44
804,tt3063516,30
805,tt0956038,14
806,tt2402105,22
807,tt2226519,12
808,tt2123342,2
809,tt2390361,20
810,tt2004420,57
811,tt2473682,39
812,tt1647668,30
813,tt2102502,5
814,tt2187884,9
815,tt1837709,37
816,tt2403021,23
817,tt0119951,6
818,tt2350496,17
819,tt1709143,28
820,tt2431286,24
821,tt0455967,15
822,tt1777595,7
823,tt1726592,43
824,tt1980929,32
825,tt2739338,7
826,tt0365907,50
827,tt0145921,1
828,tt0120789,23
829,tt0083791,31
830,tt1487931,37
831,tt3210686,13
832,tt2278388,41
833,tt1951181,25
834,tt2058107,27
835,tt1371150,27
836,tt2358891,24
837,tt2510028,7
838,tt1747958,36
839,tt2528814,14
840,tt2637294,22
841,tt2389182,8
842,tt2359024,18
843,tt2382396,26
844,tt2479800,19
845,tt1706620,65
846,tt1571249,16
847,tt0079522,32
848,tt5023260,14
849,tt2718492,20
850,tt2402085,13
851,tt1781769,43
852,tt0098624,1
853,tt2414046,9
854,tt2407380,2
855,tt2768766,3
856,tt2328813,10
857,tt2876428,3
858,tt2914838,7
859,tt1981107,37
860,tt3074732,13
861,tt1349485,1
862,tt3183630,16
863,tt1731141,70
864,tt0249516,2
865,tt1277953,56
866,tt1921064,49
867,tt0488120,32
868,tt1645131,9
869,tt1217209,95
870,tt0770828,102
871,tt0903624,148
872,tt1446192,96
873,tt1408101,99
874,tt1453405,90
875,tt1673434,62
876,tt1535108,59
877,tt1345836,194
878,tt1646987,58
879,tt1606378,82
880,tt0359950,50
881,tt1032817,6
882,tt1517260,44
883,tt1211956,61
884,tt1386703,53
885,tt0486578,7
886,tt1454468,95
887,tt1288558,46
888,tt1343092,62
889,tt1583421,76
890,tt1300854,161
891,tt1980209,46
892,tt1667889,127
893,tt1074638,101
894,tt1855325,81
895,tt1772341,78
896,tt1764651,71
897,tt1924429,36
898,tt1605630,80
899,tt1621045,14
900,tt1586265,54
901,tt1790885,60
902,tt2023587,23
903,tt1483013,80
904,tt1142798,7
905,tt0263757,14
906,tt1615065,39
907,tt1905041,76
908,tt1572315,27
909,tt1549920,47
910,tt1663143,9
911,tt0325805,27
912,tt1762399,29
913,tt2023453,24
914,tt1024648,56
915,tt0476964,24
916,tt0408839,37
917,tt1707386,64
918,tt0152930,16
919,tt1815862,48
920,tt0384793,16
921,tt0120434,17
922,tt1629757,22
923,tt1047540,24
924,tt1418377,67
925,tt1588173,63
926,tt0271668,18
927,tt1922777,31
928,tt1235522,42
929,tt1915581,28
930,tt1045658,53
931,tt1876451,9
932,tt1699755,11
933,tt0838232,28
934,tt1859650,33
935,tt1899353,31
936,tt2109184,29
937,tt1840417,22
938,tt2191701,45
939,tt0765446,28
940,tt2083383,27
941,tt1712170,28
942,tt1559547,74
943,tt1758575,3
944,tt2125435,29
945,tt1862079,19
946,tt1996264,12
947,tt1855199,38
948,tt1792647,24
949,tt0770802,12
950,tt1931533,41
951,tt0302640,20
952,tt1566501,8
953,tt2215719,9
954,tt1560747,32
955,tt2053425,28
956,tt1748227,18
957,tt1971352,19
958,tt1764234,52
959,tt2215285,9
960,tt0938330,45
961,tt0453562,26
962,tt1990314,20
963,tt1907668,46
964,tt2097307,27
965,tt1920849,17
966,tt1413495,32
967,tt2101441,83
968,tt0882977,35
969,tt1981677,39
970,tt1602620,28
971,tt0790724,63
972,tt2247692,3
973,tt1656186,31
974,tt1667310,25
975,tt1496422,22
976,tt2101341,43
977,tt1869716,20
978,tt1869425,3
979,tt1488181,32
980,tt1606829,3
981,tt1272878,48
982,tt1935179,29
983,tt1844203,8
984,tt2106476,53
985,tt2309788,6
986,tt1763303,11
987,tt2082197,8
988,tt1817273,44
989,tt2032557,19
990,tt2076220,19
991,tt2176013,9
992,tt0401997,18
993,tt1814621,17
994,tt1480658,7
995,tt0424823,11
996,tt0388125,23
997,tt2243537,36
998,tt0790628,27
999,tt2099556,9
1000,tt0094947,19
1001,tt2053463,40
1002,tt0132477,11
1003,tt0364045,22
1004,tt1597522,46
1005,tt0887883,69
1006,tt2347569,11
1007,tt1935902,18
1008,tt2042568,38
1009,tt0433400,17
1010,tt1731697,24
1011,tt1922685,20
1012,tt1491044,23
1013,tt2126362,12
1014,tt2396566,7
1015,tt1874789,2
1016,tt2229499,53
1017,tt2209418,33
1018,tt2375605,9
1019,tt1525366,18
1020,tt1822311,1
1021,tt0390022,13
1022,tt0457419,23
1023,tt0119664,15
1024,tt1772422,2
1025,tt0443272,28
1026,tt0472181,63
1027,tt1201607,76
1028,tt1399103,68
1029,tt0800369,125
1030,tt1471275,1
1031,tt1133985,76
1032,tt1129442,47
1033,tt1411697,54
1034,tt0119142,14
1035,tt1440129,130
1036,tt0448694,39
1037,tt0837562,59
1038,tt1436562,58
1039,tt0763831,20
1040,tt0848228,261
1041,tt0454876,70
1042,tt0409847,54
1043,tt1302011,61
1044,tt0970179,51
1045,tt0458481,105
1046,tt1216475,83
1047,tt0778661,11
1048,tt0119896,16
1049,tt1022603,49
1050,tt0458339,121
1051,tt0118708,19
1052,tt1192628,40
1053,tt0948470,138
1054,tt1298650,87
1055,tt1496025,53
1056,tt1402488,44
1057,tt1430607,46
1058,tt0983193,72
1059,tt1787759,6
1060,tt0119303,25
1061,tt1482459,56
1062,tt1253864,63
1063,tt1488555,28
1064,tt1596343,78
1065,tt1478338,42
1066,tt0084787,58
1067,tt1568346,66
1068,tt1324999,56
1069,tt1142977,43
1070,tt0401729,74
1071,tt0191133,6
1072,tt1564349,25
1073,tt1433822,14
1074,tt1631867,82
1075,tt1284575,42
1076,tt1563738,36
1077,tt1598828,30
1078,tt1318514,87
1079,tt1405365,17
1080,tt1232829,55
1081,tt1702425,14
1082,tt1622547,29
1083,tt0401623,2
1084,tt0123987,6
1085,tt1509767,38
1086,tt0383010,26
1087,tt1195478,33
1088,tt1229340,32
1089,tt1611224,57
1090,tt1521197,27
1091,tt1077368,115
1092,tt1682180,31
1093,tt0119141,18
1094,tt0120032,13
1095,tt1371111,57
1096,tt1657507,31
1097,tt0119848,8
1098,tt1598778,59
1099,tt1640484,15
1100,tt1270798,93
1101,tt0780504,73
1102,tt1568338,41
1103,tt1535612,16
1104,tt1625346,22
1105,tt1655420,54
1106,tt1460743,18
1107,tt0815245,20
1108,tt1258972,31
1109,tt0993846,55
1110,tt1758692,19
1111,tt0780571,31
1112,tt1596365,44
1113,tt1674784,26
1114,tt1568911,33
1115,tt1547234,32
1116,tt1632708,41
1117,tt1598822,30
1118,tt1515091,67
1119,tt0810913,26
1120,tt1517489,23
1121,tt0123209,4
1122,tt0119051,27
1123,tt1229238,85
1124,tt1441951,22
1125,tt1409024,85
1126,tt1602098,21
1127,tt1336608,32
1128,tt1545106,10
1129,tt1645080,19
1130,tt1465522,32
1131,tt1276104,71
1132,tt1366365,35
1133,tt1601913,45
1134,tt1389137,42
1135,tt0125454,8
1136,tt1233301,24
1137,tt1430615,28
1138,tt1366344,25
1139,tt0816711,75
1140,tt1616195,30
1141,tt2091473,21
1142,tt1448755,43
1143,tt1622979,40
1144,tt1351685,71
1145,tt1340800,38
1146,tt1704573,12
1147,tt0477302,30
1148,tt0455944,76
1149,tt0118604,12
1150,tt1535438,26
1151,tt1648179,34
1152,tt1649419,53
1153,tt1634122,37
1154,tt1392170,158
1155,tt1967545,21
1156,tt0119223,13
1157,tt1592525,54
1158,tt1327194,35
1159,tt1726669,23
1160,tt1694020,27
1161,tt1623205,80
1162,tt1408253,35
1163,tt0489237,19
1164,tt0873886,48
1165,tt1411250,62
1166,tt0790736,56
1167,tt0119731,17
1168,tt0419984,14
1169,tt1656190,48
1170,tt1599348,47
1171,tt1866249,28
1172,tt1397280,72
1173,tt1316616,8
1174,tt1412386,30
1175,tt1606389,38
1176,tt1596350,44
1177,tt0471042,36
1178,tt1327773,32
1179,tt0119675,21
1180,tt1645170,46
1181,tt1428538,59
1182,tt1710396,10
1183,tt1462769,23
1184,tt0119099,28
1185,tt1716777,22
1186,tt1742650,22
1187,tt1007029,30
1188,tt1194173,76
1189,tt1615918,56
